scope,fold,threshold,topk,detections_kept,true_positive_detections,false_positives,total_scans,false_positives_per_scan,covered_nodules,total_nodules,nodule_coverage,covered_positive_scans,positive_scans,positive_scan_coverage
fold_1,1,0.0,5,445,105,340,89,3.8202247191011236,105,128,0.8203125,55,61,0.9016393442622951
fold_2,2,0.0,5,445,100,345,89,3.8764044943820224,100,128,0.78125,55,56,0.9821428571428571
fold_3,3,0.0,5,445,101,344,89,3.865168539325843,101,119,0.8487394957983193,64,65,0.9846153846153847
fold_4,4,0.0,5,445,102,343,89,3.853932584269663,102,128,0.796875,62,62,1.0
fold_5,5,0.0,5,445,83,362,89,4.067415730337078,83,108,0.7685185185185185,49,54,0.9074074074074074
fold_6,6,0.0,5,445,104,341,89,3.831460674157303,104,129,0.8062015503875969,62,63,0.9841269841269841
fold_7,7,0.0,5,445,57,388,89,4.359550561797753,57,111,0.5135135135135135,39,54,0.7222222222222222
fold_8,8,0.0,5,440,75,365,88,4.1477272727272725,75,118,0.635593220338983,54,60,0.9
fold_9,9,0.0,5,440,83,357,88,4.056818181818182,83,105,0.7904761904761904,55,59,0.9322033898305084
pooled,,0.0,5,4440,903,3537,888,3.983108108108108,903,1186,0.7613827993254637,559,601,0.930116472545757
fold_0,0,0.0,6,534,95,439,89,4.932584269662922,95,112,0.8482142857142857,65,67,0.9701492537313433
fold_1,1,0.0,6,534,110,424,89,4.764044943820225,110,128,0.859375,55,61,0.9016393442622951
fold_2,2,0.0,6,534,101,433,89,4.865168539325842,101,128,0.7890625,55,56,0.9821428571428571
fold_3,3,0.0,6,534,106,428,89,4.808988764044944,106,119,0.8907563025210085,64,65,0.9846153846153847
fold_4,4,0.0,6,534,104,430,89,4.831460674157303,104,128,0.8125,62,62,1.0
fold_5,5,0.0,6,534,85,449,89,5.044943820224719,85,108,0.7870370370370371,49,54,0.9074074074074074
fold_6,6,0.0,6,534,106,428,89,4.808988764044944,106,129,0.8217054263565892,62,63,0.9841269841269841
fold_7,7,0.0,6,534,63,471,89,5.292134831460674,63,111,0.5675675675675675,41,54,0.7592592592592593
fold_8,8,0.0,6,528,79,449,88,5.1022727272727275,79,118,0.6694915254237288,55,60,0.9166666666666666
fold_9,9,0.0,6,528,84,444,88,5.045454545454546,84,105,0.8,55,59,0.9322033898305084
pooled,,0.0,6,5328,933,4395,888,4.949324324324325,933,1186,0.7866779089376054,563,601,0.9367720465890182
fold_0,0,0.0,7,623,96,527,89,5.921348314606742,96,112,0.8571428571428571,65,67,0.9701492537313433
fold_1,1,0.0,7,623,113,510,89,5.730337078651686,113,128,0.8828125,57,61,0.9344262295081968
fold_2,2,0.0,7,623,105,518,89,5.820224719101123,105,128,0.8203125,55,56,0.9821428571428571
