representation,folds,auc_mean,auc_std,mcc_mean,mcc_std,acc_mean,acc_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
resize32,10,0.5778719913408921,0.05275060103573932,0.12315468127133058,0.10583068498067837,0.5844220632685886,0.04071399002213601,0.4696789628137469,0.11963716474708316,0.46858495088681745,0.09680393030018514,0.4814899259307154,0.15036429667077422
sliding_mean,10,0.5873338852816488,0.05841252060482558,0.13650601644995294,0.1154842594610565,0.5918851590068737,0.046350160946644306,0.47495556112989884,0.12208880604818656,0.476780708326761,0.09746716542866674,0.4828428811586706,0.14719795826731497
sliding_max,10,0.6030808919540658,0.05547548613036951,0.1428060351952608,0.12034850796246119,0.583270738968403,0.05499662958869896,0.4976596364203793,0.11111605705539648,0.4735332929578376,0.08095130930923738,0.53691263991264,0.1490525145766464
sliding_mean_max,10,0.6078068676973841,0.04995336669120578,0.16185398541237497,0.10173940670009596,0.5857850404673773,0.05404083217182555,0.5208739346751712,0.06391627059157381,0.4869484941869782,0.0755069357732933,0.5668251020158916,0.07498605705383363
