representation,samples,positives,negatives,auc,mcc,accuracy,f1,precision,recall,tn,fp,fn,tp,folds
resize32,796,320,476,0.5679030987394957,0.1373438601729889,0.5841708542713567,0.4868217054263566,0.48307692307692307,0.490625,308,168,163,157,10
sliding_mean,796,320,476,0.583843224789916,0.1503663787020999,0.5917085427135679,0.49139280125195617,0.49216300940438873,0.490625,314,162,163,157,10
sliding_max,796,320,476,0.5764771533613446,0.1497809012968934,0.5829145728643216,0.5103244837758112,0.48324022346368717,0.540625,291,185,147,173,10
sliding_mean_max,796,320,476,0.5934151785714286,0.16152214714114166,0.585427135678392,0.523121387283237,0.48655913978494625,0.565625,285,191,139,181,10
